Time,Voltage
-0.002288,-0.076
-0.002284,-0.108
-0.00228,-0.132
-0.002276,-0.128
-0.002272,-0.108
-0.002268,-0.076
-0.002264,-0.04
-0.00226,0.008
-0.002256,0.056
-0.002252,0.104
-0.002248,0.16
-0.002244,0.22
-0.00224,0.252
-0.002236,0.264
-0.002232,0.268
-0.002228,0.276
-0.002224,0.26
-0.00222,0.236
-0.002216,0.204
-0.002212,0.172
-0.002208,0.124
-0.002204,0.076
-0.0022,0.036
-0.002196,-0.008
-0.002192,-0.04
-0.002188,-0.068
-0.002184,-0.08
-0.00218,-0.088
-0.002176,-0.08
-0.002172,-0.064
-0.002168,-0.036
-0.002164,-0.008
-0.00216,0.024
-0.002156,0.064
-0.002152,0.1
-0.002148,0.128
-0.002144,0.148
-0.00214,0.16
-0.002136,0.164
-0.002132,0.152
-0.002128,0.132
-0.002124,0.108
-0.00212,0.068
-0.002116,0.028
-0.002112,-0.016
-0.002108,-0.056
-0.002104,-0.1
-0.0021,-0.128
-0.002096,-0.132
-0.002092,-0.12
-0.002088,-0.092
-0.002084,-0.056
-0.00208,-0.008
-0.002076,0.044
-0.002072,0.1
-0.002068,0.156
-0.002064,0.236
-0.00206,0.28
-0.002056,0.304
-0.002052,0.32
-0.002048,0.332
-0.002044,0.336
-0.00204,0.32
-0.002036,0.304
-0.002032,0.276
-0.002028,0.24
-0.002024,0.192
-0.00202,0.148
-0.002016,0.104
-0.002012,0.06
-0.002008,0.02
-0.002004,-0.008
-0.002,-0.024
-0.001996,-0.036
-0.001992,-0.036
-0.001988,-0.02
-0.001984,0
-0.00198,0.028
-0.001976,0.06
-0.001972,0.096
-0.001968,0.128
-0.001964,0.156
-0.00196,0.18
-0.001956,0.196
-0.001952,0.2
-0.001948,0.192
-0.001944,0.176
-0.00194,0.148
-0.001936,0.112
-0.001932,0.072
-0.001928,0.028
-0.001924,-0.016
-0.00192,-0.056
-0.001916,-0.088
-0.001912,-0.12
-0.001908,-0.136
-0.001904,-0.12
-0.0019,-0.096
-0.001896,-0.06
-0.001892,-0.02
-0.001888,0.024
-0.001884,0.076
-0.00188,0.128
-0.001876,0.192
-0.001872,0.236
-0.001868,0.256
-0.001864,0.268
-0.00186,0.272
-0.001856,0.272
-0.001852,0.252
-0.001848,0.224
-0.001844,0.192
-0.00184,0.152
-0.001836,0.104
-0.001832,0.06
-0.001828,0.02
-0.001824,-0.02
-0.00182,-0.052
-0.001816,-0.076
-0.001812,-0.084
-0.001808,-0.084
-0.001804,-0.076
-0.0018,-0.052
-0.001796,-0.024
-0.001792,0.004
-0.001788,0.04
-0.001784,0.084
-0.00178,0.112
-0.001776,0.136
-0.001772,0.156
-0.001768,0.164
-0.001764,0.16
-0.00176,0.148
-0.001756,0.124
-0.001752,0.092
-0.001748,0.056
-0.001744,0.012
-0.00174,-0.032
-0.001736,-0.076
-0.001732,-0.112
-0.001728,-0.136
-0.001724,-0.128
-0.00172,-0.108
-0.001716,-0.076
-0.001712,-0.036
-0.001708,0.012
-0.001704,0.068
-0.0017,0.124
-0.001696,0.18
-0.001692,0.26
-0.001688,0.296
-0.001684,0.312
-0.00168,0.324
-0.001676,0.336
-0.001672,0.332
-0.001668,0.312
-0.001664,0.292
-0.00166,0.264
-0.001656,0.22
-0.001652,0.172
-0.001648,0.132
-0.001644,0.084
-0.00164,0.044
-0.001636,0.008
-0.001632,-0.016
-0.001628,-0.032
-0.001624,-0.036
-0.00162,-0.032
-0.001616,-0.012
-0.001612,0.008
-0.001608,0.036
-0.001604,0.076
-0.0016,0.108
-0.001596,0.14
-0.001592,0.168
-0.001588,0.188
-0.001584,0.196
-0.00158,0.196
-0.001576,0.188
-0.001572,0.164
-0.001568,0.136
-0.001564,0.096
-0.00156,0.056
-0.001556,0.012
-0.001552,-0.032
-0.001548,-0.072
-0.001544,-0.104
-0.00154,-0.128
-0.001536,-0.132
-0.001532,-0.112
-0.001528,-0.084
-0.001524,-0.044
-0.00152,-0.004
-0.001516,0.048
-0.001512,0.096
-0.001508,0.148
-0.001504,0.216
-0.0015,0.244
-0.001496,0.26
-0.001492,0.268
-0.001488,0.276
-0.001484,0.268
-0.00148,0.24
-0.001476,0.212
-0.001472,0.176
-0.001468,0.136
-0.001464,0.088
-0.00146,0.044
-0.001456,0
-0.001452,-0.036
-0.001448,-0.064
-0.001444,-0.076
-0.00144,-0.084
-0.001436,-0.084
-0.001432,-0.068
-0.001428,-0.04
-0.001424,-0.012
-0.00142,0.02
-0.001416,0.056
-0.001412,0.092
-0.001408,0.124
-0.001404,0.144
-0.0014,0.16
-0.001396,0.164
-0.001392,0.156
-0.001388,0.14
-0.001384,0.112
-0.00138,0.076
-0.001376,0.036
-0.001372,-0.008
-0.001368,-0.048
-0.001364,-0.088
-0.00136,-0.128
-0.001356,-0.136
-0.001352,-0.124
-0.001348,-0.1
-0.001344,-0.064
-0.00134,-0.02
-0.001336,0.036
-0.001332,0.088
-0.001328,0.144
-0.001324,0.224
-0.00132,0.276
-0.001316,0.3
-0.001312,0.32
-0.001308,0.332
-0.001304,0.34
-0.0013,0.328
-0.001296,0.308
-0.001292,0.28
-0.001288,0.244
-0.001284,0.2
-0.00128,0.156
-0.001276,0.112
-0.001272,0.068
-0.001268,0.028
-0.001264,-0.004
-0.00126,-0.024
-0.001256,-0.036
-0.001252,-0.036
-0.001248,-0.024
-0.001244,-0.004
-0.00124,0.02
-0.001236,0.056
-0.001232,0.092
-0.001228,0.124
-0.001224,0.152
-0.00122,0.176
-0.001216,0.192
-0.001212,0.196
-0.001208,0.192
-0.001204,0.18
-0.0012,0.156
-0.001196,0.12
-0.001192,0.08
-0.001188,0.036
-0.001184,-0.008
-0.00118,-0.048
-0.001176,-0.084
-0.001172,-0.112
-0.001168,-0.136
-0.001164,-0.124
-0.00116,-0.1
-0.001156,-0.068
-0.001152,-0.032
-0.001148,0.016
-0.001144,0.068
-0.00114,0.116
-0.001136,0.176
-0.001132,0.228
-0.001128,0.252
-0.001124,0.268
-0.00112,0.272
-0.001116,0.272
-0.001112,0.256
-0.001108,0.228
-0.001104,0.196
-0.0011,0.16
-0.001096,0.112
-0.001092,0.068
-0.001088,0.024
-0.001084,-0.012
-0.00108,-0.048
-0.001076,-0.068
-0.001072,-0.08
-0.001068,-0.084
-0.001064,-0.08
-0.00106,-0.056
-0.001056,-0.028
-0.001052,0
-0.001048,0.036
-0.001044,0.076
-0.00104,0.108
-0.001036,0.132
-0.001032,0.152
-0.001028,0.164
-0.001024,0.164
-0.00102,0.152
-0.001016,0.128
-0.001012,0.096
-0.001008,0.06
-0.001004,0.02
-0.001,-0.024
-0.000996,-0.068
-0.000992,-0.108
-0.000988,-0.136
-0.000984,-0.132
-0.00098,-0.112
-0.000976,-0.084
-0.000972,-0.044
-0.000968,0.004
-0.000964,0.056
-0.00096,0.112
-0.000956,0.168
-0.000952,0.252
-0.000948,0.288
-0.000944,0.308
-0.00094,0.324
-0.000936,0.336
-0.000932,0.336
-0.000928,0.32
-0.000924,0.296
-0.00092,0.268
-0.000916,0.228
-0.000912,0.18
-0.000908,0.14
-0.000904,0.096
-0.0009,0.048
-0.000896,0.012
-0.000892,-0.012
-0.000888,-0.028
-0.000884,-0.04
-0.00088,-0.032
-0.000876,-0.016
-0.000872,0.004
-0.000868,0.032
-0.000864,0.068
-0.00086,0.104
-0.000856,0.136
-0.000852,0.164
-0.000848,0.184
-0.000844,0.196
-0.00084,0.196
-0.000836,0.188
-0.000832,0.168
-0.000828,0.14
-0.000824,0.104
-0.00082,0.064
-0.000816,0.02
-0.000812,-0.024
-0.000808,-0.064
-0.000804,-0.1
-0.0008,-0.124
-0.000796,-0.136
-0.000792,-0.12
-0.000788,-0.088
-0.000784,-0.056
-0.00078,-0.012
-0.000776,0.036
-0.000772,0.088
-0.000768,0.136
-0.000764,0.208
-0.00076,0.24
-0.000756,0.26
-0.000752,0.268
-0.000748,0.276
-0.000744,0.268
-0.00074,0.244
-0.000736,0.216
-0.000732,0.184
-0.000728,0.144
-0.000724,0.092
-0.00072,0.048
-0.000716,0.012
-0.000712,-0.028
-0.000708,-0.056
-0.000704,-0.076
-0.0007,-0.084
-0.000696,-0.084
-0.000692,-0.068
-0.000688,-0.048
-0.000684,-0.016
-0.00068,0.012
-0.000676,0.052
-0.000672,0.088
-0.000668,0.12
-0.000664,0.14
-0.00066,0.16
-0.000656,0.164
-0.000652,0.16
-0.000648,0.144
-0.000644,0.116
-0.00064,0.084
-0.000636,0.044
-0.000632,0
-0.000628,-0.044
-0.000624,-0.084
-0.00062,-0.12
-0.000616,-0.136
-0.000612,-0.124
-0.000608,-0.104
-0.000604,-0.068
-0.0006,-0.028
-0.000596,0.028
-0.000592,0.08
-0.000588,0.132
-0.000584,0.196
-0.00058,0.268
-0.000576,0.296
-0.000572,0.312
-0.000568,0.328
-0.000564,0.336
-0.00056,0.332
-0.000556,0.312
-0.000552,0.288
-0.000548,0.256
-0.000544,0.208
-0.00054,0.164
-0.000536,0.12
-0.000532,0.076
-0.000528,0.032
-0.000524,0.004
-0.00052,-0.02
-0.000516,-0.036
-0.000512,-0.04
-0.000508,-0.028
-0.000504,-0.008
-0.0005,0.016
-0.000496,0.048
-0.000492,0.084
-0.000488,0.116
-0.000484,0.148
-0.00048,0.172
-0.000476,0.192
-0.000472,0.196
-0.000468,0.196
-0.000464,0.18
-0.00046,0.16
-0.000456,0.128
-0.000452,0.092
-0.000448,0.044
-0.000444,0
-0.00044,-0.044
-0.000436,-0.08
-0.000432,-0.108
-0.000428,-0.132
-0.000424,-0.128
-0.00042,-0.108
-0.000416,-0.076
-0.000412,-0.036
-0.000408,0.008
-0.000404,0.056
-0.0004,0.108
-0.000396,0.16
-0.000392,0.224
-0.000388,0.252
-0.000384,0.264
-0.00038,0.268
-0.000376,0.272
-0.000372,0.26
-0.000368,0.236
-0.000364,0.204
-0.00036,0.168
-0.000356,0.124
-0.000352,0.076
-0.000348,0.032
-0.000344,-0.008
-0.00034,-0.044
-0.000336,-0.068
-0.000332,-0.076
-0.000328,-0.084
-0.000324,-0.08
-0.00032,-0.064
-0.000316,-0.036
-0.000312,-0.008
-0.000308,0.028
-0.000304,0.068
-0.0003,0.1
-0.000296,0.128
-0.000292,0.148
-0.000288,0.164
-0.000284,0.164
-0.00028,0.152
-0.000276,0.132
-0.000272,0.104
-0.000268,0.068
-0.000264,0.024
-0.00026,-0.016
-0.000256,-0.056
-0.000252,-0.1
-0.000248,-0.128
-0.000244,-0.132
-0.00024,-0.12
-0.000236,-0.088
-0.000232,-0.052
-0.000228,-0.008
-0.000224,0.048
-0.00022,0.1
-0.000216,0.16
-0.000212,0.24
-0.000208,0.28
-0.000204,0.304
-0.0002,0.32
-0.000196,0.332
-0.000192,0.336
-0.000188,0.32
-0.000184,0.3
-0.00018,0.276
-0.000176,0.236
-0.000172,0.188
-0.000168,0.144
-0.000164,0.104
-0.00016,0.06
-0.000156,0.02
-0.000152,-0.008
-0.000148,-0.028
-0.000144,-0.036
-0.00014,-0.036
-0.000136,-0.02
-0.000132,0
-0.000128,0.024
-0.000124,0.064
-0.00012,0.096
-0.000116,0.128
-0.000112,0.16
-0.000108,0.184
-0.000104,0.196
-0.0001,0.196
-0.000096,0.192
-0.000092,0.176
-0.000088,0.148
-0.000084,0.112
-0.00008,0.072
-0.000076,0.028
-0.000072,-0.016
-0.000068,-0.056
-0.000064,-0.092
-0.00006,-0.12
-0.000056,-0.136
-0.000052,-0.12
-0.000048,-0.096
-0.000044,-0.06
-0.00004,-0.02
-0.000036,0.028
-0.000032,0.08
-0.000028,0.128
-0.000024,0.196
-0.00002,0.236
-0.000016,0.256
-0.000012,0.268
